Name,Source,Internal URL,External URL
"UCSC Genome Browser","genocat","http://genocat.tools/tools/ucsc_genome_browser/","https://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&lastVirtModeType=default&lastVirtModeExtraState=&virtModeType=default&virtMode=0&nonVirtPosition=&position=chr1%3A11102837-11267747&hgsid=729714349_6ib6LxPNBWK6CgShBpt2CkgFUcIX"
"Two Sample Logo","genocat","http://genocat.tools/tools/two_sample_logo/","http://www.twosamplelogo.org/"
"Variant View","genocat","http://genocat.tools/tools/variant_view/","https://www.cs.ubc.ca/labs/imager/tr/2013/VariantView/VariantViewSoftware/"
"Vials","genocat","http://genocat.tools/tools/vials/","http://genocat.tools/tools/vials/vials.io"
"Vista Dot","genocat","http://genocat.tools/tools/vista_dot/","http://pipeline.lbl.gov/vista_help/help.html#dotplot"
"VCF Plotein","genocat","http://genocat.tools/tools/vcf_plotein/","https://vcfplotein.liigh.unam.mx/#/"
"WashU Epigenome Browser","genocat","http://genocat.tools/tools/washu_epigenome_browser/","http://epigenomegateway.wustl.edu/browser/"
"Vista Synteny","genocat","http://genocat.tools/tools/vista_synteny/","http://genome.lbl.gov/vista/index.shtml"
"VistaPoint","genocat","http://genocat.tools/tools/vistapoint/","http://pipeline.lbl.gov/cgi-bin/gateway2?selector=vistapoint"
"WebLogo","genocat","http://genocat.tools/tools/weblogo/","https://weblogo.berkeley.edu/logo.cgi"
"Xena","genocat","http://genocat.tools/tools/xena/","http://xena.ucsc.edu/"
"waragraph","awesome-tools-visualization","","https://chfi.github.io/waragraph/"
"Taxonium","awesome-tools-visualization","","https://taxonium.org/"
"VRPG","awesome-tools-visualization","","https://github.com/codeatcg/VRPG"
"ABrowse (genome browser)","awesome-tools-visualization","","null"
"clonifier","awesome-tools-visualization","","https://dlesl.github.io/clonifier/"
"GeCoViz","awesome-tools-visualization","","https://gecoviz.cgmlab.org/"
"Prosite/MyDomains","awesome-tools-visualization","","https://prosite.expasy.org/mydomains"
"PhenoGram","awesome-tools-visualization","","https://ritchielab.org/software/phenogram-downloads"
"GenomeSyn","awesome-tools-visualization","","https://github.com/jmsong2/GenomeSyn"
"UTGB (University of Tokyo Genome Browser)","awesome-tools-visualization","","http://utgenome.org/"
"TreeBrowser (MicrobesOnline)","awesome-tools-visualization","","http://www.microbesonline.org/cgi-bin/treeBrowse.cgi?locus=17761"
"PSAT","awesome-tools-visualization","","http://www.nwrce.org/psat"
"GECO","awesome-tools-visualization","","http://bioinfo.mikrobio.med.uni-giessen.de/geco2/GecoMainServlet"
"CoolBox","awesome-tools-visualization","","null"
"SequenceServer","awesome-tools-visualization","","https://sequenceserver.com/"
"SyntenyPortal","awesome-tools-visualization","","http://bioinfo.konkuk.ac.kr/synteny_portal/"
"Sybil","awesome-tools-visualization","","http://sybil.sourceforge.net/"
"SynBrowse","awesome-tools-visualization","","null"
"PFAM generate_graphic","awesome-tools-visualization","","https://pfam.xfam.org/generate_graphic"
"IBS (Illustrator for Biological Sequences)","awesome-tools-visualization","","http://ibs.biocuckoo.org/"
"Cinteny","awesome-tools-visualization","","http://cinteny.cchmc.org/"
"SimpleSynteny","awesome-tools-visualization","","https://www.dveltri.com/simplesynteny/about.html"
"StainedGlass","awesome-tools-visualization","","null"
"CGView","awesome-tools-visualization","","http://cgview.ca/"
"RegulomeExplorer","awesome-tools-visualization","","http://explorer.cancerregulome.org/all_pairs/?dataset=TCGA_ACC"
"Ideogram viewer","awesome-tools-visualization","","https://bioinformatics.mdanderson.org/public-software/ideogramviewer/"
"PGV (pangenome tool)","awesome-tools-visualization","","https://github.com/ucrbioinfo/PGV"
"nightingale/protvista","awesome-tools-visualization","","https://ebi-webcomponents.github.io/nightingale/#/msa"
"vega","awesome-tools-visualization","","http://vega.archive.ensembl.org/Homo_sapiens/Location/Chromosome?r=6-QBL"
"Aquaria","awesome-tools-visualization","","http://aquaria.ws/Q9HD67/5i0i/A"
"gingko","awesome-tools-visualization","","http://qb.cshl.edu/ginkgo/?q=/9EiUttUP0CBHs3WnuBa0"
"AnnoJ","awesome-tools-visualization","","https://brainome.ucsd.edu/howto_annoj.html"
"Shasta","awesome-tools-visualization","","https://chanzuckerberg.github.io/shasta/ComputationalMethods.html#ReadGraph"
"PopSV","awesome-tools-visualization","","https://github.com/jmonlong/PopSV/blob/master/3-Visualization.md"
"clinker","awesome-tools-visualization","","https://github.com/gamcil/clinker"
"JGI/IMG","awesome-tools-visualization","","https://img.jgi.doe.gov/"
"Gview","awesome-tools-visualization","","https://server.gview.ca/examples"
"VIVA","awesome-tools-visualization","","https://www.biorxiv.org/content/10.1101/589879v1.full.pdf"
"UCSC Xena","awesome-tools-visualization","","https://xena.ucsc.edu/"
"pViz","awesome-tools-visualization","","https://github.com/Genentech/pviz"
"GenomePaint","awesome-tools-visualization","","https://genomepaint.stjude.cloud/"
"ProteinPaint","awesome-tools-visualization","","https://pecan.stjude.cloud/proteinpaint"
"Protael","awesome-tools-visualization","","http://sanshu.github.io/protaelweb/"
"RPAN (3kricedb)","awesome-tools-visualization","","http://cgm.sjtu.edu.cn/3kricedb/visualization/?tracks=DNA%2Cgene%2CPF"
"UCSC Genome Graphs","awesome-tools-visualization","","http://genome.ucsc.edu/cgi-bin/hgGenome"
"NCBI Genome Decoration","awesome-tools-visualization","","null"
"KaryotypeSVG","awesome-tools-visualization","","https://github.com/andreasprlic/karyotypeSVG"
"eweitz/Ideogram","awesome-tools-visualization","","https://github.com/eweitz/ideogram"
"Peax","awesome-tools-visualization","","https://github.com/Novartis/peax"
"Juicebox.js","awesome-tools-visualization","","http://www.igv.org/doc/juiceboxjs.html"
"HiPiler","awesome-tools-visualization","","http://hipiler.higlass.io/"
"Epiviz","awesome-tools-visualization","","https://epiviz.github.io/"
"Epilogos","awesome-tools-visualization","","https://epilogos.altius.org/"
"Mummer-idotplot","awesome-tools-visualization","","https://github.com/ryought/mummer-idotplot"
"Jdot","awesome-tools-visualization","","https://github.com/LyonsLab/jdot"
"dotPlotly","awesome-tools-visualization","","https://github.com/tpoorten/dotPlotly/"
"iLambda/Dotplot","awesome-tools-visualization","","https://github.com/iLambda/dotplot"
"Dotplot (chirimoyo)","awesome-tools-visualization","","https://chirimoyo.ac.uma.es/bitlab/portfolio/dotplot/"
"Dotlet","awesome-tools-visualization","","https://dotlet.vital-it.ch/"
"Dot","awesome-tools-visualization","","https://dot.sandbox.bio/"
"D-GENIES","awesome-tools-visualization","","http://dgenies.toulouse.inra.fr/"
"Zenbu","awesome-tools-visualization","","http://fantom.gsc.riken.jp/zenbu/"
"WashU epigenomics browser","awesome-tools-visualization","","https://epigenomegateway.wustl.edu/"
"Valis browser","awesome-tools-visualization","","https://valis.bio/"
"UCSC genome browser","awesome-tools-visualization","","https://genome.ucsc.edu/"
"Trackster","awesome-tools-visualization","","https://galaxyproject.org/learn/visualization/"
"Pileup.js","awesome-tools-visualization","","https://github.com/hammerlab/pileup.js"
"Nucleome browser","awesome-tools-visualization","","https://vis.nucleome.org/v1/main.html"
"NCBI Genome Data Viewer","awesome-tools-visualization","","https://www.ncbi.nlm.nih.gov/genome/gdv/"
"Kero-BROWSE","awesome-tools-visualization","","https://kero.hgc.jp/examples/CLCL/hg38/index.html"
"JBrowse 2","awesome-tools-visualization","","http://jbrowse.org/jb2"
"JBrowse","awesome-tools-visualization","","http://jbrowse.org/jbrowse1.html"
"IGV.js","awesome-tools-visualization","","https://github.com/igvteam/igv.js/"
"HiGlass","awesome-tools-visualization","","https://higlass.io/"
"Gosling","awesome-tools-visualization","","https://gosling.js.org/"
"GBrowse 2","awesome-tools-visualization","","http://gmod.org/wiki/GBrowse"
"Ensembl genome browser 2020 edition","awesome-tools-visualization","","http://2020.ensembl.org/"
"Ensembl genome browser","awesome-tools-visualization","","https://useast.ensembl.org/Homo_sapiens/Location/View?r=17:63992802-64038237"
"Biodalliance","awesome-tools-visualization","","http://www.biodalliance.org/"
"BigTop","awesome-tools-visualization","","https://blog.dnanexus.com/2019-05-21-bigtop-data-visualization/"
"wasm bigwig demo browser","awesome-tools-visualization","","https://shk656461.github.io/index.html"
"Vials","awesome-tools-visualization","","http://vials.io/"
"Varsome","awesome-tools-visualization","","https://varsome.com/security-validation/?next=/variant/hg19/NM_000088.3(COL1A1):c.658C%3ET"
"Transposcope","awesome-tools-visualization","","null"
"TE-nest","awesome-tools-visualization","","null"
"TASUKE","awesome-tools-visualization","","https://ricegenome.dna.affrc.go.jp/"
"SplitThreader","awesome-tools-visualization","","http://splitthreader.com/"
"SNIPViz","awesome-tools-visualization","","http://www.yeastrc.org/snipviz/4.HTML_Config_retrieve_newick_and_fasta_from_server/snip_viz_HTML_config_with_newick_clustering.html"
"SNPitty","awesome-tools-visualization","","https://bitbucket.org/ccbc/snpitty/src/master/"
"SFARI","awesome-tools-visualization","","https://gene.sfari.org/database/human-gene/"
"SEQing","awesome-tools-visualization","","https://github.com/malewins/SEQing"
"SeqCover","awesome-tools-visualization","","https://brentp.github.io/seqcover/#gene=AIFM1"
"NGB","awesome-tools-visualization","","https://github.com/epam/NGB"
"LookSeq","awesome-tools-visualization","","https://www.sanger.ac.uk/tool/lookseq/"
"Locuszoom.js","awesome-tools-visualization","","http://locuszoom.org/locuszoomjs.php"
"Locuszoom","awesome-tools-visualization","","http://locuszoom.org/"
"IslandViewer and IslandPlot","awesome-tools-visualization","","https://bl.ocks.org/lairdm/c6c235dbfa6e6ee61565"
"Introgression browser","awesome-tools-visualization","","https://git.wageningenur.nl/aflit001/ibrowser"
"Icarus QUAST","awesome-tools-visualization","","http://quast.sourceforge.net/icarus.html"
"Human genome dating","awesome-tools-visualization","","https://human.genome.dating/region/chr1_13250000"
"GWAS catalog browser","awesome-tools-visualization","","https://www.ebi.ac.uk/gwas/variants/rs1558902"
"GTEX Locus browser","awesome-tools-visualization","","https://gtexportal.org/home/locusBrowserPage/ACTN3"
"Gremlin","awesome-tools-visualization","","http://compbio.cs.brown.edu/projects/gremlin/"
"Gnomad browser","awesome-tools-visualization","","https://github.com/macarthur-lab/gnomadjs"
"Genoverse","awesome-tools-visualization","","https://github.com/wtsi-web/Genoverse"
"GenomeSpy","awesome-tools-visualization","","https://genomespy.app/"
"Ribbon","awesome-tools-visualization","","http://genomeribbon.com/"
"FluentDNA","awesome-tools-visualization","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7203487/"
"DNASkittle","awesome-tools-visualization","","https://www.dnaskittle.com/"
"D3GB","awesome-tools-visualization","","http://d3gb.usal.es/"
"Chromatic","awesome-tools-visualization","","https://chromatic.nci.nih.gov/"
"Apollo aka WebApollo","awesome-tools-visualization","","https://genomearchitect.readthedocs.io/en/latest/"
"seqviz","awesome-tools-visualization","","https://github.com/Lattice-Automation/seqviz#viewer"
"OGDRAW","awesome-tools-visualization","","https://chlorobox.mpimp-golm.mpg.de/OGDraw.html"
"CircosJS","awesome-tools-visualization","","https://github.com/nicgirault/circosJS"
"BioCircos.js","awesome-tools-visualization","","http://bioinfo.ibp.ac.cn/biocircos/"
"sequence tube map","awesome-tools-visualization","","https://github.com/vgteam/sequenceTubeMap"
"MoMi-G","awesome-tools-visualization","","https://github.com/MoMI-G/MoMI-G"
"graphgenomeviewer","awesome-tools-visualization","","https://cmdcolin.github.io/graphgenomeviewer/"
"gGnomes.js","awesome-tools-visualization","","https://github.com/mskilab/gGnome.js"
"gGnomes","awesome-tools-visualization","","https://github.com/mskilab/gGnome"
"AGB assembly graph browser","awesome-tools-visualization","","null"
"VISTA browser","awesome-tools-visualization","","http://pipeline.lbl.gov/cgi-bin/gateway2"
"SynTView","awesome-tools-visualization","","http://hub18.hosting.pasteur.fr/SynTView/documentation/"
"JAX Synteny browser","awesome-tools-visualization","","https://github.com/TheJacksonLaboratory/syntenybrowser"
"OMA local synteny browser","awesome-tools-visualization","","https://omabrowser.org/oma/synteny/ADH1A_HUMAN/"
"Multiple genome viewer","awesome-tools-visualization","","http://www.informatics.jax.org/mgv/"
"mGSV (multiple genome synteny viewer)","awesome-tools-visualization","","https://github.com/kashmatic/mGSV"
"mauve-viewer","awesome-tools-visualization","","https://github.com/nconrad/mauve-viewer"
"GIVE","awesome-tools-visualization","","https://zhong-lab-ucsd.github.io/GIVE_homepage/"
"Genomicus","awesome-tools-visualization","","https://www.genomicus.biologie.ens.fr/genomicus/"
"Genome Context Viewer","awesome-tools-visualization","","https://www.legumefederation.org/gcv/phytozome_10_2/"
"GBrowse_syn","awesome-tools-visualization","","http://gmod.org/wiki/GBrowse_syn"
"Cvit.js","awesome-tools-visualization","","https://github.com/LegumeFederation/cvitjs"
"CVit","awesome-tools-visualization","","https://sourceforge.net/projects/cvit/"
"Comparative assembly hub / "snake track"","awesome-tools-visualization","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4296145/"
"CoGe","awesome-tools-visualization","","https://genomevolution.org/coge/"
"CMap","awesome-tools-visualization","","http://gmod.org/wiki/CMap"
"Chromatiblock","awesome-tools-visualization","","https://github.com/mjsull/chromatiblock"
"Biodalliance comparative demo","awesome-tools-visualization","","http://biodalliance.org/dev/test-comparative.html"
"AliTV","awesome-tools-visualization","","https://alitvteam.github.io/AliTV/d3/AliTV.html"
"Aequatus","awesome-tools-visualization","","https://github.com/TGAC/Aequatus"
"TnT","awesome-tools-visualization","","https://tnt.marlin.pub/articles/introduction"
"shinyChromosome","awesome-tools-visualization","","http://150.109.59.144:3838/shinyChromosome/"
"PureScript genetics browser","awesome-tools-visualization","","https://github.com/chfi/purescript-genetics-browser"
"Mason","awesome-tools-visualization","","http://www.yeastrc.org/mason/"
"FeatureViewer","awesome-tools-visualization","","https://github.com/calipho-sib/feature-viewer"
"Wasabi","awesome-tools-visualization","","http://wasabiapp.org/"
"STRAP","awesome-tools-visualization","","http://www.bioinformatics.org/strap/"
"React MSAViewer","awesome-tools-visualization","","https://github.com/plotly/react-msa-viewer"
"NCBI MSA Viewer","awesome-tools-visualization","","https://www.ncbi.nlm.nih.gov/projects/msaviewer/"
"MView","awesome-tools-visualization","","https://www.ebi.ac.uk/Tools/msa/mview/"
"MSABrowser","awesome-tools-visualization","","https://thekaplanlab.github.io/"
"LogoJS","awesome-tools-visualization","","https://logojs.wenglab.org/app/gallery/"
"JSAV","awesome-tools-visualization","","http://www.bioinf.org.uk/software/jsav"
"ESPript","awesome-tools-visualization","","http://espript.ibcp.fr/ESPript/ESPript/"
"Boxshade","awesome-tools-visualization","","https://embnet.vital-it.ch/software/BOX_form.html"
"BioJS/MSA","awesome-tools-visualization","","https://msa.biojs.net/"
"AlignmentViewer","awesome-tools-visualization","","https://alignmentviewer.org/"
"alignment.js","awesome-tools-visualization","","https://github.com/veg/alignment.js"
"abrowse (MSA viewer)","awesome-tools-visualization","","https://github.com/ihh/abrowse"
"AA (alignment annotator)","awesome-tools-visualization","","http://www.bioinformatics.org/strap/aa"
"COSMIC Cancer Browser","awesome-biological-visualizations","","https://cancer.sanger.ac.uk/cosmic/browse/tissue"
"UCSC Xena","awesome-biological-visualizations","","https://xenabrowser.net/"
"cBioPortal for Cancer Genomics","awesome-biological-visualizations","","http://www.cbioportal.org/"
"iCoMut Beta for FireBrowse","awesome-biological-visualizations","","http://firebrowse.org/iCoMut/"
"MAGI","awesome-biological-visualizations","","http://magi.brown.edu/"
"ExploSig","awesome-biological-visualizations","","http://explosig.lrgr.io/"
"Race, Gender, and Age in TCGA","awesome-biological-visualizations","","https://www.enpicom.com/visual-lab/tcga-visual-exploration-gender-race-age/"
"OASISPRO","awesome-biological-visualizations","","http://tinyurl.com/oasispro"
"Signal","awesome-biological-visualizations","","https://signal.mutationalsignatures.com/"
"Oncoscape","awesome-biological-visualizations","","https://oncoscape.sttrcancer.org/"
"UCSC Genome Browser","awesome-biological-visualizations","","https://genome.ucsc.edu/"
"Ensembl","awesome-biological-visualizations","","http://www.ensembl.org/"
"IMP: Integrative Multi-species Prediction","awesome-biological-visualizations","","http://imp.princeton.edu/"
"PLACNETw","awesome-biological-visualizations","","https://castillo.dicom.unican.es/ex1/?unique=58f731fec480a"
"PhyD3","awesome-biological-visualizations","","https://phyd3.bits.vib.be/view.php?id=91162629d258a876ee994e9233b2ad87&f=xml"
"Archaeopteryx","awesome-biological-visualizations","","http://www.phyloxml.org/archaeopteryx-js/bcl2_js.html"
"GeneMANIA","awesome-biological-visualizations","","http://genemania.org/"
"Mutaframe","awesome-biological-visualizations","","http://deogen2.mutaframe.com/"
"Coessentiality","awesome-biological-visualizations","","http://coessentiality.net/"
"Gosling","awesome-biological-visualizations","","https://gosling.js.org/"
"HiGlass","awesome-biological-visualizations","","http://higlass.io/"
"HiPiler","awesome-biological-visualizations","","http://hipiler.higlass.io/"
"Delta","awesome-biological-visualizations","","http://delta.big.ac.cn/"
"Juicebox","awesome-biological-visualizations","","http://aidenlab.org/juicebox/"
"TADkit","awesome-biological-visualizations","","http://sgt.cnag.cat/3dg/tadkit/demo.h/index.html#!/project/dataset?conf=assets%2Fexamples%2Fconf.json"
"Metaviz","awesome-biological-visualizations","","http://metaviz.cbcb.umd.edu/"
"Malaria Cell Atlas","awesome-biological-visualizations","","https://www.sanger.ac.uk/science/tools/mca/mca/"
"Epiviz","awesome-biological-visualizations","","http://epiviz.cbcb.umd.edu/4/"
"GIVe","awesome-biological-visualizations","","https://mcf7.givengine.org/"
"WashU Epigenome Browser","awesome-biological-visualizations","","http://epigenomegateway.wustl.edu/"
"Clustergrammer CCLE Explorer","awesome-biological-visualizations","","https://maayanlab.github.io/CCLE_Clustergrammer/"
"Peax","awesome-biological-visualizations","","https://github.com/Novartis/peax"
